Nom,Prix,Carburant,Modèle,CV,KM,Ville
AUDI A4,73.000 DH  VENDUE,Diesel,2007,8 cv,390.000 km,Agadir
FORD Fiesta,53.000 DH  VENDUE,Essence,2008,7 cv,139.900 km,Casablanca
TOYOTA Corolla Sport,208.000 DH  VENDUE,Hybride,2021,10 cv,43.134 km,Casablanca
KIA Carens,235.000 DH  VENDUE,Diesel,2023,6 cv,19.599 km,Casablanca
ALFA ROMEO Stelvio,840.000 DH  VENDUE,Essence,2024,17 cv,1.000 km,Casablanca
FIAT 500,148.000 DH  VENDUE,Essence,2022,7 cv,48.720 km,Casablanca
ALFA ROMEO Tonale,365.000 DH  VENDUE,Diesel,2024,8 cv,1.000 km,Casablanca
HYUNDAI Creta,159.000 DH  VENDUE,Diesel,2016,6 cv,120.000 km,Fès
LAND ROVER Range Rover Evoque,232.000 DH  VENDUE,Diesel,2016,9 cv,166.300 km,Rabat
LAND ROVER Range Rover Evoque,290.000 DH  VENDUE,Diesel,2018,8 cv,88.600 km,Casablanca
BMW Série 3,260.000 DH  VENDUE,Diesel,2015,8 cv,114.000 km,Rabat
FORD Kuga,265.000 DH  VENDUE,Diesel,2022,6 cv,12.000 km,Meknès
TOYOTA Auris,130.000 DH  VENDUE,Essence,2019,cv,570.000 km,Marrakech
BMW Série 5,187.000 DH  VENDUE,Diesel,2015,8 cv,190.000 km,Casablanca
VOLKSWAGEN Tiguan,275.000 DH  VENDUE,Diesel,2017,8 cv,88.000 km,Casablanca
VOLKSWAGEN Jetta,169.000 DH  VENDUE,Diesel,2017,8 cv,100.000 km,Casablanca
SKODA Karoq,240.000 DH  VENDUE,Diesel,2021,8 cv,62.000 km,Casablanca
DACIA Sandero,155.000 DH  VENDUE,Diesel,2020,6 cv,28.880 km,Fès
HYUNDAI Sonata,350.000 DH  VENDUE,Hybride,2022,11 cv,52.000 km,Casablanca
SEAT Leon,110.000 DH  VENDUE,Diesel,2012,6 cv,110.000 km,Casablanca
TOYOTA Corolla Sport,200.000 DH  VENDUE,Hybride,2019,10 cv,32.000 km,Rabat
TOYOTA Verso,95.000 DH  VENDUE,Diesel,2012,cv,163.000 km,Casablanca
BMW Série 1,135.000 DH  VENDUE,Essence,2015,8 cv,62.000 km,Casablanca
DS DS7 Crossback,310.000 DH  VENDUE,Diesel,2020,8 cv,143.000 km,Casablanca
TOYOTA Corolla Sport,240.000 DH  VENDUE,Hybride,2022,10 cv,42.000 km,Casablanca
CITROEN C-Elysée,93.000 DH  VENDUE,Diesel,2016,6 cv,136.000 km,Marrakech
FORD Focus,215.000 DH  VENDUE,Diesel,2021,6 cv,35.000 km,Casablanca
DACIA Sandero,125.000 DH  VENDUE,Diesel,2019,6 cv,46.500 km,Salé
SKODA Scala,205.000 DH  VENDUE,Diesel,2021,6 cv,50.000 km,Guelmim
MERCEDES Classe E,760.000 DH  VENDUE,Diesel,2022,8 cv,21.000 km,Casablanca
RENAULT Kadjar,159.000 DH  VENDUE,Diesel,2016,6 cv,140.000 km,Casablanca
LAND ROVER Range Rover Sport,670.000 DH  VENDUE,Diesel,2021,12 cv,55.000 km,Casablanca
FORD C-Max,150.000 DH  VENDUE,Diesel,2017,6 cv,160.000 km,Casablanca
HYUNDAI i10,55.000 DH  VENDUE,Essence,2009,6 cv,197.000 km,Casablanca
BMW X1,275.000 DH  VENDUE,Diesel,2017,8 cv,45.800 km,Casablanca
VOLKSWAGEN CC,160.000 DH  VENDUE,Diesel,2016,8 cv,237.000 km,Casablanca
OPEL Astra,75.000 DH  VENDUE,Diesel,2007,6 cv,200.000 km,Casablanca
MERCEDES Classe S,1.630.000 DH  VENDUE,Diesel,2022,12 cv,50.000 km,Casablanca
FIAT 500,77.000 DH  VENDUE,Diesel,2015,6 cv,140.000 km,Rabat
BMW X3,320.000 DH  VENDUE,Diesel,2017,cv,97.000 km,Tanger
BMW X5,580.000 DH  VENDUE,Diesel,2020,12 cv,110.000 km,Tanger
VOLKSWAGEN Jetta,145.000 DH  VENDUE,Diesel,2017,8 cv,188.000 km,Casablanca
HYUNDAI Accent,148.000 DH  VENDUE,Diesel,2020,6 cv,61.000 km,Marrakech
AUDI Q5,400.000 DH  VENDUE,Diesel,2020,8 cv,55.000 km,Agadir
HYUNDAI ix35,148.000 DH  VENDUE,Diesel,2013,8 cv,173.000 km,Casablanca
OPEL Corsa,169.900 DH  VENDUE,Diesel,2020,6 cv,35.000 km,Marrakech
MASERATI Levante,420.000 DH  VENDUE,Diesel,2018,12 cv,100.000 km,Casablanca
BMW Série 2 Gran Coupé,400.000 DH  VENDUE,Diesel,2021,8 cv,73.000 km,Rabat
FORD Kuga,286.000 DH  VENDUE,Diesel,2022,6 cv,56.000 km,Temara
HYUNDAI Accent,163.000 DH  VENDUE,Diesel,2022,6 cv,37.000 km,Casablanca
PORSCHE Macan,355.000 DH  VENDUE,Diesel,2016,cv,148.000 km,Tanger
JAGUAR S-Type,100.000 DH  VENDUE,Diesel,2014,6 cv,174.000 km,Casablanca
TOYOTA Corolla Prestige,183.000 DH  VENDUE,Hybride,2020,10 cv,78.000 km,Tanger
FORD Focus,199.990 DH  VENDUE,Diesel,2021,6 cv,101.000 km,Casablanca
RENAULT Kadjar,193.000 DH  VENDUE,Diesel,2019,6 cv,91.000 km,Casablanca
TOYOTA C-HR,218.000 DH  VENDUE,Hybride,2021,10 cv,60.000 km,Casablanca
OPEL Crossland,169.000 DH  VENDUE,Diesel,2020,6 cv,92.000 km,Mohammadia
CITROEN C4 Cactus,169.000 DH  VENDUE,Diesel,2020,6 cv,86.500 km,Rabat
BMW Série 3,105.000 DH  VENDUE,Diesel,2011,8 cv,216.000 km,Casablanca
MERCEDES Classe A,445.000 DH  VENDUE,Diesel,2020,8 cv,64.800 km,Casablanca
HYUNDAI Santa Fe,320.000 DH  VENDUE,Diesel,2020,9 cv,45.000 km,Rabat
MERCEDES Classe B,155.000 DH  VENDUE,Diesel,2014,6 cv,89.000 km,Rabat
FIAT 500,145.000 DH  VENDUE,Essence,2023,7 cv,19.000 km,Casablanca
VOLKSWAGEN Tiguan,315.000 DH  VENDUE,Diesel,2021,8 cv,150.000 km,Casablanca
MAHINDRA KUV 100,95.000 DH  VENDUE,Diesel,2019,5 cv,58.000 km,Casablanca
ALFA ROMEO Stelvio,285.000 DH  VENDUE,Diesel,2020,9 cv,60.000 km,Casablanca
FORD Focus,155.000 DH  VENDUE,Diesel,2017,6 cv,155.000 km,Beni Mellal
BMW X1,245.000 DH  VENDUE,Diesel,2017,8 cv,67.000 km,Casablanca
HYUNDAI Tucson,185.000 DH  VENDUE,Diesel,2016,7 cv,96.000 km,Rabat
CITROEN C4 Picasso,106.000 DH  VENDUE,Diesel,2015,8 cv,230.000 km,Marrakech
MERCEDES Classe C,770.000 DH  VENDUE,Diesel,2021,8 cv,18.000 km,Rabat
FORD Fusion,122.000 DH  VENDUE,Diesel,2016,8 cv,180.000 km,Marrakech
MERCEDES Classe M,250.000 DH  VENDUE,Diesel,2014,12 cv,210.000 km,Casablanca
FIAT 500,146.000 DH  VENDUE,Essence,2022,7 cv,7.800 km,Casablanca
VOLKSWAGEN Tiguan,210.000 DH  VENDUE,Diesel,2018,9 cv,52.000 km,Casablanca
SEAT Ibiza,150.000 DH  VENDUE,Essence,2024,6 cv,60.000 km,Agadir
OPEL Grandland,189.000 DH  VENDUE,Diesel,2021,6 cv,61.000 km,Casablanca
CITROEN Berlingo,96.000 DH  VENDUE,Diesel,2008,6 cv,281.000 km,Casablanca
NISSAN Qashqai,225.000 DH  VENDUE,Diesel,2021,6 cv,27.000 km,Casablanca
VOLKSWAGEN Touran,240.000 DH  VENDUE,Diesel,2016,8 cv,174.000 km,Agadir
OPEL Crossland,175.000 DH  VENDUE,Diesel,2022,6 cv,59.000 km,Casablanca
FORD C-Max,90.000 DH  VENDUE,Diesel,2009,7 cv,269.000 km,Casablanca
DACIA Duster,175.000 DH  VENDUE,Diesel,2017,6 cv,43.000 km,Salé
VOLVO V40,185.000 DH  VENDUE,Diesel,2019,8 cv,120.000 km,Rabat
RENAULT Captur,230.000 DH  VENDUE,Diesel,2022,6 cv,33.000 km,Rabat
FORD Focus Sedan,160.000 DH  VENDUE,Diesel,2018,6 cv,174.000 km,Rabat
CITROEN C3,132.000 DH  VENDUE,Diesel,2019,6 cv,56.000 km,Mohammadia
PEUGEOT 3008,320.000 DH  VENDUE,Diesel,2021,8 cv,41.000 km,Salé
SEAT Leon,155.000 DH  VENDUE,Diesel,2019,6 cv,131.000 km,Salé
MERCEDES Classe C,130.000 DH  VENDUE,Diesel,2008,9 cv,150.000 km,Casablanca
VOLKSWAGEN Touareg,270.000 DH  VENDUE,Diesel,2019,12 cv,55.000 km,Casablanca
RENAULT Mégane Sedan,180.000 DH  VENDUE,Diesel,2019,6 cv,98.000 km,Salé
VOLKSWAGEN Golf,68.000 DH  VENDUE,Diesel,2004,8 cv,273.000 km,Khénifra
NISSAN Qashqai,155.000 DH  VENDUE,Diesel,2015,7 cv,161.000 km,Casablanca
VOLKSWAGEN Polo,127.000 DH  VENDUE,Essence,2019,7 cv,58.000 km,Agadir
FIAT 500,75.000 DH  VENDUE,Essence,2009,6 cv,138.000 km,Tanger
BMW Série 1,340.000 DH  VENDUE,Essence,2020,9 cv,50.000 km,Casablanca
PORSCHE Macan,440.000 DH  VENDUE,Essence,2018,17 cv,100.000 km,Casablanca
MERCEDES GLC Coupé,560.000 DH  VENDUE,Essence,2017,17 cv,90.000 km,Casablanca
MERCEDES CLS Coupé,570.000 DH  VENDUE,Diesel,2018,12 cv,139.000 km,Casablanca
OPEL Astra,285.000 DH  VENDUE,Diesel,2023,7 cv,23.000 km,Casablanca
VOLKSWAGEN Golf,160.000 DH  VENDUE,Diesel,2017,8 cv,230.000 km,Fès
VOLKSWAGEN Golf,95.000 DH  VENDUE,Diesel,2009,8 cv,327.000 km,Casablanca
HYUNDAI Santa Fe,235.000 DH  VENDUE,Diesel,2019,9 cv,44.000 km,Casablanca
PEUGEOT 208,125.000 DH  VENDUE,Diesel,2018,6 cv,99.950 km,Mohammadia
MERCEDES Classe B,87.500 DH  VENDUE,Diesel,2010,8 cv,300.000 km,Rabat
PEUGEOT 208,155.000 DH  VENDUE,Diesel,2020,6 cv,61.400 km,Casablanca
VOLKSWAGEN T-Roc,355.000 DH  VENDUE,Diesel,2023,8 cv,6.300 km,Agadir
VOLVO V40,135.000 DH  VENDUE,Diesel,2014,6 cv,130.000 km,Casablanca
HONDA Accord,106.000 DH  VENDUE,Diesel,2011,9 cv,275.000 km,Casablanca
RENAULT Kangoo,108.000 DH  VENDUE,Diesel,2015,6 cv,71.000 km,Casablanca
FIAT 500,86.000 DH  VENDUE,Diesel,2014,5 cv,106.000 km,Agadir
AUDI Q5,250.000 DH  VENDUE,Diesel,2013,8 cv,200.000 km,Agadir
CITROEN C3 AirCross,175.000 DH  VENDUE,Diesel,2020,6 cv,36.000 km,Casablanca
MERCEDES Classe C,325.000 DH  VENDUE,Diesel,2016,8 cv,105.000 km,Casablanca
MERCEDES SLS AMG Coupé,310.000 DH  VENDUE,Diesel,2023,cv,152.665 km,Casablanca
HYUNDAI Tucson,200.000 DH  VENDUE,Diesel,2017,7 cv,143.000 km,Mohammadia
FORD EcoSport,168.000 DH  VENDUE,Diesel,2018,6 cv,52.474 km,Berrechid
MERCEDES GLE Coupé,480.000 DH  VENDUE,Diesel,2016,16 cv,192.325 km,Fès
OPEL Astra Berline,175.000 DH  VENDUE,Diesel,2018,6 cv,68.000 km,Beni Mellal
CHERY QQ,32.000 DH  VENDUE,Essence,2010,5 cv,86.000 km,Mohammadia
VOLKSWAGEN T-Roc,325.000 DH  VENDUE,Diesel,2024,8 cv,80.000 km,Kénitra
FORD Focus,132.000 DH  VENDUE,Diesel,2016,6 cv,254.000 km,Berrechid
PEUGEOT 301,71.500 DH  VENDUE,Diesel,2012,6 cv,290.000 km,Marrakech
FORD Kuga,123.000 DH  VENDUE,Diesel,2011,8 cv,200.000 km,Salé
FIAT 500,120.000 DH  VENDUE,Essence,2019,6 cv,31.000 km,Agadir
BMW Série 4 Gran Coupé,760.000 DH  VENDUE,Diesel,2023,8 cv,4.200 km,Casablanca
NISSAN Qashqai,198.000 DH  VENDUE,Diesel,2018,6 cv,76.000 km,Casablanca
AUDI Q3,380.000 DH  VENDUE,Diesel,2022,8 cv,40.000 km,Casablanca
JEEP Compass,270.000 DH  VENDUE,Essence,2023,8 cv,5.500 km,Casablanca
FIAT 500X,190.000 DH  VENDUE,Diesel,2019,8 cv,79.000 km,Casablanca
BMW X1,230.000 DH  VENDUE,Diesel,2018,cv,175.000 km,Rabat
FIAT Doblo,194.000 DH  VENDUE,Diesel,2024,6 cv,12.000 km,Rabat
VOLKSWAGEN Golf,160.000 DH  VENDUE,Diesel,2014,6 cv,196.000 km,Kénitra
PEUGEOT 308,108.000 DH  VENDUE,Diesel,2024,cv,187.000 km,Casablanca
FORD Focus,225.000 DH  VENDUE,Diesel,2021,6 cv,25.000 km,Casablanca
AUDI Q5,220.000 DH  VENDUE,Diesel,2016,8 cv,140.000 km,Oujda
NISSAN Micra,135.000 DH  VENDUE,Diesel,2019,90 cv,105.000 km,Tanger
VOLKSWAGEN Touareg,720.000 DH  VENDUE,Diesel,2023,12 cv,19.000 km,Casablanca
VOLKSWAGEN Golf,215.000 DH  VENDUE,Diesel,2019,8 cv,121.000 km,Mohammadia
MERCEDES CLA Coupé,220.000 DH  VENDUE,Diesel,2013,8 cv,200.000 km,Marrakech
BMW Série 3,300.000 DH  VENDUE,Diesel,2014,8 cv,100.000 km,Casablanca
MERCEDES GLA,335.000 DH  VENDUE,Diesel,2019,cv,59.000 km,Casablanca
TOYOTA Corolla Berline,30.000 DH  VENDUE,Essence,1999,7 cv,200.000 km,Casablanca
RENAULT Mégane,160.000 DH  VENDUE,Diesel,2018,6 cv,107.000 km,Tanger
PEUGEOT 301,132.000 DH  VENDUE,Diesel,2019,6 cv,60.000 km,Sefrou
MERCEDES Classe A,182.000 DH  VENDUE,Diesel,2016,6 cv,200.000 km,Tanger
AUDI A6,290.000 DH  VENDUE,Diesel,2018,8 cv,133.000 km,Casablanca
SEAT Ibiza,150.000 DH  VENDUE,Diesel,2020,6 cv,83.500 km,Casablanca
TOYOTA Corolla Sport,195.000 DH  VENDUE,Hybride,2019,10 cv,91.000 km,Rabat
SKODA Superb,183.000 DH  VENDUE,Diesel,2017,8 cv,158.000 km,Agadir
HONDA CR-V,318.000 DH  VENDUE,Hybride,2022,11 cv,39.000 km,Rabat
SKODA Karoq,255.000 DH  VENDUE,Diesel,2020,8 cv,80.300 km,Agadir
RENAULT Clio,135.000 DH  VENDUE,Diesel,2021,6 cv,100.000 km,Casablanca
RENAULT Mégane Sedan,174.000 DH  VENDUE,Diesel,2019,6 cv,98.000 km,Rabat
RENAULT Clio,103.000 DH  VENDUE,Diesel,2019,6 cv,210.000 km,Casablanca
JEEP Grand Cherokee,420.000 DH  VENDUE,Essence,2016,cv,31.000 km,Rabat
NISSAN Micra,130.000 DH  VENDUE,Diesel,2018,6 cv,48.900 km,Marrakech
MERCEDES CLS Coupé,230.000 DH  VENDUE,Diesel,2014,9 cv,160.000 km,Tétouan
MAZDA 3,46.000 DH  VENDUE,Essence,2008,11 cv,200.000 km,Casablanca
HYUNDAI Accent,115.000 DH  VENDUE,Diesel,2015,6 cv,250.000 km,Tanger
VOLKSWAGEN Touareg,145.000 DH  VENDUE,Diesel,2013,12 cv,200.000 km,Laayoune
OPEL Astra,108.000 DH  VENDUE,Diesel,2015,8 cv,183.000 km,Salé
LAND ROVER Range Rover Evoque,248.000 DH  VENDUE,Diesel,2013,9 cv,134.000 km,Tanger
VOLVO XC90,340.000 DH  VENDUE,Diesel,2019,8 cv,113.000 km,Tanger
RENAULT Clio,158.000 DH  VENDUE,Diesel,2020,6 cv,59.000 km,Temara
TOYOTA RAV 4,80.000 DH  VENDUE,Diesel,2010,cv,250.000 km,Casablanca
HYUNDAI ix35,145.000 DH  VENDUE,Diesel,2014,7 cv,138.000 km,Marrakech
PEUGEOT 3008,320.000 DH  VENDUE,Diesel,2022,8 cv,80.000 km,Casablanca
RENAULT Mégane,105.000 DH  VENDUE,Diesel,2012,7 cv,115.000 km,Casablanca
VOLKSWAGEN T-Roc,300.000 DH  VENDUE,Diesel,2021,8 cv,31.500 km,Casablanca
SKODA Superb,167.000 DH  VENDUE,Diesel,2017,8 cv,129.000 km,Rabat
KIA Sportage,148.000 DH  VENDUE,Diesel,2016,8 cv,132.000 km,Rabat
MERCEDES Classe E,33.000 DH  VENDUE,Essence,1999,11 cv,240.000 km,Rabat
TOYOTA C-HR,180.000 DH  VENDUE,Hybride,2017,10 cv,217.000 km,Casablanca
VOLKSWAGEN Polo,65.000 DH  VENDUE,Essence,2008,cv,87.727 km,Temara
VOLKSWAGEN Tiguan,320.000 DH  VENDUE,Diesel,2019,8 cv,49.000 km,Casablanca
HYUNDAI i30,135.000 DH  VENDUE,Diesel,2016,6 cv,183.000 km,Kénitra
HYUNDAI Tucson,200.000 DH  VENDUE,Diesel,2017,6 cv,52.000 km,Meknès
FORD Fiesta,106.000 DH  VENDUE,Diesel,2017,6 cv,118.000 km,Rabat
CITROEN C4,145.000 DH  VENDUE,Diesel,2016,6 cv,53.000 km,Casablanca
FORD Focus Sedan,125.000 DH  VENDUE,Diesel,2016,6 cv,160.000 km,Mohammadia
SEAT Ibiza,135.000 DH  VENDUE,Diesel,2018,6 cv,93.000 km,Tétouan
AUDI A6,153.000 DH  VENDUE,Diesel,2012,8 cv,176.000 km,Casablanca
MERCEDES Classe C,640.000 DH  VENDUE,Diesel,2024,8 cv,25.000 km,Marrakech
AUDI A3 Sportback,327.000 DH  VENDUE,Diesel,2023,8 cv,9.500 km,Casablanca
VOLKSWAGEN Passat,82.000 DH  VENDUE,Diesel,2006,8 cv,310.000 km,Meknès
MERCEDES Classe C,128.000 DH  VENDUE,Diesel,2007,9 cv,280.000 km,Meknès
PEUGEOT 301,79.000 DH  VENDUE,Diesel,2014,6 cv,260.000 km,Meknès
AUDI Q3 Sportback,10.000 DH  VENDUE,Diesel,2019,8 cv,40.000 km,Marrakech
FORD Kuga,110.000 DH  VENDUE,Diesel,2011,8 cv,178.000 km,Casablanca
VOLKSWAGEN Golf,150.000 DH  VENDUE,Diesel,2013,8 cv,173.000 km,Salé
VOLKSWAGEN Passat,188.000 DH  VENDUE,Diesel,2018,8 cv,195.000 km,El Jadida
OPEL Astra,155.000 DH  VENDUE,Diesel,2015,6 cv,150.000 km,Marrakech
PEUGEOT 208,162.000 DH  VENDUE,Diesel,2021,6 cv,52.000 km,Tanger
RENAULT Mégane,240.000 DH  VENDUE,Diesel,2022,6 cv,17.100 km,Tanger
FORD Focus Sedan,110.000 DH  VENDUE,Diesel,2012,6 cv,199.000 km,Agadir
RENAULT Captur,165.000 DH  VENDUE,Diesel,2021,6 cv,19.000 km,Casablanca
FIAT 500,95.000 DH  VENDUE,Essence,2016,6 cv,128.000 km,Casablanca
FIAT Punto,69.000 DH  VENDUE,Diesel,2016,6 cv,165.000 km,Meknès
HONDA Accord,105.000 DH  VENDUE,Diesel,2009,9 cv,242.000 km,Rabat
PEUGEOT 308,83.000 DH  VENDUE,Diesel,2011,6 cv,180.000 km,Marrakech
TOYOTA Corolla Sport,42.000 DH  VENDUE,Diesel,2004,8 cv,200.000 km,Marrakech
VOLKSWAGEN Golf,155.000 DH  VENDUE,Diesel,2014,6 cv,210.000 km,Agadir
MERCEDES Classe C,215.000 DH  VENDUE,Diesel,2016,6 cv,168.000 km,Tanger
TOYOTA Corolla Prestige,182.000 DH  VENDUE,Hybride,2020,8 cv,130.000 km,Casablanca
KIA Sportage,240.000 DH  VENDUE,Diesel,2021,6 cv,42.500 km,Casablanca
RENAULT Clio,120.000 DH  VENDUE,Diesel,2018,6 cv,117.000 km,Casablanca
VOLKSWAGEN Golf,210.000 DH  VENDUE,Diesel,2017,6 cv,145.000 km,Casablanca
RENAULT Mégane Sedan,163.000 DH  VENDUE,Diesel,2019,6 cv,72.000 km,Rabat
ALFA ROMEO Giulietta,143.000 DH  VENDUE,Diesel,2019,6 cv,78.000 km,Rabat
NISSAN Micra,155.000 DH  VENDUE,Diesel,2022,6 cv,42.184 km,Agadir
FIAT Fiorino,105.000 DH  VENDUE,Diesel,2018,5 cv,60.000 km,Casablanca
VOLVO S60,128.000 DH  VENDUE,Diesel,2016,6 cv,142.000 km,Rabat
PEUGEOT 301,135.000 DH  VENDUE,Diesel,2022,6 cv,92.000 km,Rabat
VOLKSWAGEN Polo,152.000 DH  VENDUE,Essence,2019,6 cv,62.000 km,Rabat
OPEL Corsa,125.000 DH  VENDUE,Diesel,2021,6 cv,50.000 km,Tanger
JAGUAR XF,168.000 DH  VENDUE,Diesel,2013,cv,189.000 km,Rabat
RENAULT Kadjar,203.000 DH  VENDUE,Diesel,2020,6 cv,120.000 km,Casablanca
NISSAN Micra,125.000 DH  VENDUE,Diesel,2019,6 cv,49.000 km,Casablanca
BMW X3,350.000 DH  VENDUE,Diesel,2018,8 cv,45.000 km,Casablanca
DACIA Sandero,95.000 DH  VENDUE,Diesel,2014,6 cv,110.000 km,Skhirate
BMW X1,162.000 DH  VENDUE,Diesel,2014,8 cv,171.000 km,Casablanca
VOLVO XC40,265.000 DH  VENDUE,Diesel,2018,8 cv,107.000 km,Casablanca
ALFA ROMEO Stelvio,230.000 DH  VENDUE,Diesel,2018,8 cv,154.500 km,Casablanca
MINI Cooper 3 portes,75.000 DH  VENDUE,Diesel,2009,cv,140.000 km,Marrakech
AUDI Q5,480.000 DH  VENDUE,Diesel,2019,8 cv,177.000 km,Casablanca
VOLKSWAGEN Golf,175.000 DH  VENDUE,Diesel,2018,8 cv,166.600 km,Rabat
MERCEDES Classe C,400.000 DH  VENDUE,Diesel,2017,8 cv,197.000 km,Casablanca
MERCEDES Classe A Berline,440.000 DH  VENDUE,Diesel,2021,8 cv,42.000 km,Casablanca
FORD Transit,75.000 DH  VENDUE,Diesel,2000,10 cv,510.000 km,Casablanca
MERCEDES Classe C,740.000 DH  VENDUE,Diesel,2021,8 cv,76.000 km,Casablanca
HYUNDAI Tucson,340.000 DH  VENDUE,Diesel,2023,6 cv,16.500 km,Ouarzazate
KIA Seltos,250.000 DH  VENDUE,Diesel,2022,6 cv,15.000 km,Agadir
HYUNDAI i10,55.000 DH  VENDUE,Essence,2009,6 cv,162.000 km,El Jadida
HYUNDAI ix35,115.000 DH  VENDUE,Diesel,2011,8 cv,189.000 km,El Jadida
VOLVO XC90 PHEV,600.000 DH  VENDUE,Hybride,2021,11 cv,50.000 km,Casablanca
RENAULT Mégane,103.000 DH  VENDUE,Diesel,2010,6 cv,162.000 km,Kénitra
VOLKSWAGEN T-Roc,340.000 DH  VENDUE,Diesel,2023,8 cv,7.200 km,Tanger
OPEL Insignia,125.000 DH  VENDUE,Diesel,2014,8 cv,190.000 km,Marrakech
FORD Mustang,315.000 DH  VENDUE,Essence,2019,17 cv,100.000 km,Casablanca
RENAULT Clio,108.000 DH  VENDUE,Diesel,2015,6 cv,120.000 km,Casablanca
VOLKSWAGEN Passat,150.000 DH  VENDUE,Diesel,2016,8 cv,190.000 km,Rabat
RENAULT Mégane Sedan,180.000 DH  VENDUE,Diesel,2019,6 cv,127.000 km,Casablanca
VOLKSWAGEN Coccinelle,185.000 DH  VENDUE,Diesel,2017,8 cv,66.000 km,Agadir
VOLKSWAGEN Golf,178.000 DH  VENDUE,Diesel,2019,8 cv,107.000 km,Meknès
CHEVROLET Captiva,79.300 DH  VENDUE,Diesel,2013,8 cv,260.000 km,Casablanca
VOLKSWAGEN Tiguan,278.000 DH  VENDUE,Diesel,2021,8 cv,100.000 km,Temara
LAND ROVER Range Rover Evoque,350.000 DH  VENDUE,Diesel,2019,8 cv,65.000 km,Casablanca
OPEL Astra,114.000 DH  VENDUE,Diesel,2014,7 cv,151.000 km,Casablanca
BMW Série 5,485.000 DH  VENDUE,Diesel,2022,8 cv,30.000 km,Meknès
CITROEN C5,98.000 DH  VENDUE,Diesel,2011,8 cv,300.000 km,Casablanca
PEUGEOT 308,65.000 DH  VENDUE,Essence,2009,cv,150.000 km,Tanger
LAND ROVER Discovery,123.123 DH  VENDUE,Electrique,1999,cv,123.123 km,Casablanca
OPEL Astra,165.000 DH  VENDUE,Diesel,2021,6 cv,68.000 km,Casablanca
OPEL Astra,165.000 DH  VENDUE,Diesel,2021,6 cv,68.000 km,Casablanca
HYUNDAI ix35,142.000 DH  VENDUE,Diesel,2011,8 cv,150.000 km,Casablanca
VOLKSWAGEN Polo,106.000 DH  VENDUE,Diesel,2014,5 cv,169.000 km,Mohammadia
HYUNDAI ix35,145.000 DH  VENDUE,Diesel,2011,8 cv,150.000 km,Casablanca
FIAT 500,107.000 DH  VENDUE,Essence,2016,cv,73.019 km,Casablanca
DACIA Duster,108.000 DH  VENDUE,Diesel,2010,6 cv,132.000 km,Casablanca
FORD Kuga,197.000 DH  VENDUE,Diesel,2019,8 cv,192.000 km,Casablanca
NISSAN Qashqai,195.000 DH  VENDUE,Diesel,2018,6 cv,47.000 km,Casablanca
PORSCHE Macan,890.000 DH  VENDUE,Essence,2023,11 cv,35.000 km,Casablanca
HYUNDAI i10,145.000 DH  VENDUE,Essence,2022,6 cv,1.500 km,Tanger
MERCEDES CLA Coupé,350.000 DH  VENDUE,Diesel,2019,8 cv,76.000 km,Rabat
PORSCHE 718 Boxster,800.000 DH  VENDUE,Essence,2019,17 cv,24.367 km,Rabat
HYUNDAI ix35,150.000 DH  VENDUE,Diesel,2011,8 cv,150.000 km,Casablanca
PEUGEOT 206,72.000 DH  VENDUE,Essence,2011,6 cv,39.289 km,Rabat
DACIA Duster,125.000 DH  VENDUE,Diesel,2019,6 cv,96.000 km,Casablanca
LAND ROVER Range Rover Evoque,210.000 DH  VENDUE,Diesel,2013,9 cv,170.000 km,Agadir
PEUGEOT 208,160.000 DH  VENDUE,Diesel,2022,6 cv,30.000 km,Khemissate
VOLKSWAGEN Tiguan,220.000 DH  VENDUE,Diesel,2017,8 cv,169.000 km,Rabat
FORD Focus,155.000 DH  VENDUE,Diesel,2017,6 cv,139.500 km,Casablanca
FIAT 500,89.000 DH  VENDUE,Essence,2010,5 cv,155.000 km,Tétouan
HONDA CR-V,165.000 DH  VENDUE,Diesel,2015,6 cv,194.000 km,Casablanca
MERCEDES Classe C,255.000 DH  VENDUE,Diesel,2018,8 cv,184.000 km,Casablanca
LAND ROVER Range Rover Sport,325.000 DH  VENDUE,Diesel,2016,12 cv,200.000 km,Casablanca
VOLKSWAGEN Jetta,168.000 DH  VENDUE,Diesel,2020,8 cv,98.000 km,Rabat
DACIA Logan,128.000 DH  VENDUE,Diesel,2021,6 cv,89.000 km,Rabat
AUDI A5 SportBack,190.000 DH  VENDUE,Diesel,2015,8 cv,192.000 km,Casablanca
VOLVO XC40,315.000 DH  VENDUE,Diesel,2020,8 cv,96.500 km,Casablanca
FIAT Uno,20.000 DH  VENDUE,Diesel,2000,7 cv,300.000 km,Fès
OPEL Astra,175.000 DH  VENDUE,Diesel,2019,6 cv,49.800 km,Casablanca
FORD Kuga,200.000 DH  VENDUE,Diesel,2018,8 cv,606.000 km,Casablanca
BMW Série 1,315.000 DH  VENDUE,Diesel,2022,6 cv,12.000 km,Casablanca
RENAULT Mégane,125.000 DH  VENDUE,Diesel,2016,6 cv,190.000 km,Casablanca
NISSAN Micra,132.000 DH  VENDUE,Diesel,2017,6 cv,150.000 km,Meknès
KIA Rio,134.000 DH  VENDUE,Diesel,2016,6 cv,81.320 km,Tanger
FIAT 500,155.000 DH  VENDUE,Essence,2022,7 cv,13.000 km,Casablanca
